,decade,len
0,60,101
1,60,101
2,60,66
3,60,108
4,60,85
5,60,20
6,60,33
7,60,113
8,60,53
9,60,54
10,60,87
11,60,117
12,60,62
13,60,46
14,60,74
15,60,84
16,60,55
17,60,52
18,60,85
19,60,39
20,60,33
21,60,67
22,60,29
23,60,28
24,60,97
25,60,33
26,60,26
27,60,108
28,60,110
29,60,49
30,60,32
31,60,37
32,60,36
33,60,43
34,60,162
35,60,100
36,60,75
37,60,62
38,60,25
39,60,176
40,60,60
41,60,93
42,60,41
43,60,83
44,60,53
45,60,58
46,60,57
47,60,54
48,60,66
49,60,53
50,60,29
51,60,29
52,60,51
53,60,34
54,60,164
55,60,64
56,60,116
57,60,89
58,60,49
59,70,137
60,70,54
61,70,98
62,70,80
63,70,42
64,70,41
65,70,53
66,70,81
67,70,166
68,70,84
69,70,121
70,70,121
71,70,33
72,70,57
73,70,74
74,70,79
75,70,88
76,70,63
77,70,63
78,70,48
79,70,33
80,70,57
81,70,39
82,70,143
83,70,44
84,70,100
85,70,74
86,70,69
87,70,54
88,70,233
89,70,127
90,70,214
91,70,104
92,70,81
93,70,111
94,70,110
95,70,116
96,70,136
97,70,41
98,70,32
99,70,339
100,70,68
101,70,108
102,70,127
103,70,143
104,70,70
105,70,61
106,70,107
107,70,113
108,70,186
109,70,77
110,80,108
111,80,40
112,80,66
113,80,92
114,80,114
115,80,62
116,80,96
117,80,63
118,80,103
119,80,62
120,80,143
121,80,56
122,80,64
123,80,67
124,80,179
125,80,61
126,80,52
127,80,58
128,80,76
129,80,35
130,80,45
131,80,82
132,80,247
133,80,82
134,80,70
135,80,53
136,80,70
137,80,119
138,80,117
139,80,84
140,80,84
141,80,83
142,80,33
143,80,47
144,80,82
145,80,96
146,80,47
147,80,90
148,80,68
149,80,107
150,80,191
151,80,66
152,80,80
153,80,91
154,80,152
155,80,96
156,80,57
157,80,53
158,80,75
159,80,109
160,80,48
161,80,72
162,80,49
163,80,122
164,80,118
165,80,60
166,80,95
167,80,69
168,80,26
169,80,115
170,80,77
171,80,244
172,90,68
173,90,131
174,90,89
175,90,71
176,90,55
177,90,68
178,90,189
179,90,74
180,90,54
181,90,95
182,90,85
183,90,84
184,90,136
185,90,76
186,90,50
187,90,5
188,90,120
189,90,90
190,90,65
191,90,156
192,90,294
193,90,35
194,90,51
195,90,79
196,90,47
197,90,102
198,90,56
199,90,74
200,90,41
201,90,87
202,90,90
203,90,51
204,90,498
205,90,93
206,90,90
207,90,293
208,90,62
209,90,85
210,90,82
211,90,28
212,90,54
213,90,158
214,90,42
215,90,80
216,2000,72
217,2000,151
218,2000,89
219,2000,166
220,2000,291
221,2000,45
222,2000,141
223,2000,114
224,2000,112
225,2000,157
226,2000,94
227,2000,116
228,2000,349
229,2000,75
230,2000,141
231,2000,52
232,2000,93
233,2000,144
234,2000,93
235,2000,169
236,2000,125
237,2000,59
238,2000,141
239,2000,72
240,2000,139
241,2000,101
242,2000,57
243,2000,31
244,2000,96
245,2000,166
246,2000,105
247,2000,108
248,2000,81
249,2000,94
250,2000,79
251,2000,176
252,2000,48
253,2000,87
254,2000,60
255,2000,88
256,2000,136
257,2000,52
258,2000,110
259,2000,76
260,2000,56
261,2000,122
262,2000,83
263,2000,83
264,2000,115
265,2000,106
266,2000,95
267,2000,117
268,2000,91
269,2000,223
270,2000,55
271,2010,78
272,2010,52
273,2010,142
274,2010,91
275,2010,157
276,2010,47
277,2010,50
278,2010,66
279,2010,87
280,2010,175
281,2010,177
282,2010,67
283,2010,152
284,2010,144
285,2010,172
286,2010,41
287,2010,97
288,2010,201
289,2010,91
290,2010,64
291,2010,31
292,2010,94
293,2010,113
294,2010,56
295,2010,202
296,2010,147
297,2010,99
298,2010,67
299,2010,60
300,2010,125
301,2010,41
302,2010,91
303,2010,88
304,2010,214
305,2010,79
306,2010,78
307,2010,114
308,2010,91
309,2010,72
310,2010,63
311,2010,105
312,2010,116
313,2010,81
314,2010,68
315,2010,63
316,2010,145
317,2010,58
318,2010,116
319,2010,93
320,2010,33
321,2010,35
322,2010,108
323,2010,156
324,2010,132
325,2010,51
326,2010,55
327,2010,256
328,2010,120
329,2010,41
330,2010,42
331,2010,64
332,2010,63
333,2010,65
334,2010,104
335,2010,54
336,2010,51
337,2010,168
338,2010,178
339,2010,103
340,2010,132
341,2010,144
342,2010,85
